                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.84002,                0.76612,                 1.2451,                0.84982,                0.66066,                0.75785,                0.52591,                 1.0447,                 1.0619,                 1.5512,             0.00045005,             0.00045005,             0.00045005
                     53,                0.83379,                0.76822,                 1.2466,                0.77301,                0.65114,                0.71184,                0.51563,                 1.0441,                 1.0883,                  1.557,             0.00044105,             0.00044105,             0.00044105
                     54,                0.82034,                0.74267,                 1.2338,                0.66594,                0.73018,                 0.7394,                0.50364,                 1.0831,                 1.0489,                 1.5707,             0.00043205,             0.00043205,             0.00043205
                     55,                  0.809,                  0.742,                 1.2247,                0.77478,                0.71446,                0.76476,                0.53205,                 1.0978,                 1.0639,                 1.6136,             0.00042305,             0.00042305,             0.00042305
                     56,                0.79161,                0.72312,                 1.2178,                0.71325,                0.77359,                0.78243,                0.55313,                  1.075,                0.97722,                 1.6087,             0.00041405,             0.00041405,             0.00041405
                     57,                0.79972,                0.71098,                 1.2199,                0.80254,                 0.6745,                0.73313,                0.50209,                 1.1133,                 1.0364,                 1.6429,             0.00040505,             0.00040505,             0.00040505
                     58,                0.80121,                0.72058,                 1.2218,                0.72505,                0.72994,                0.73079,                0.50658,                 1.0828,                 1.0453,                 1.6107,             0.00039605,             0.00039605,             0.00039605
                     59,                0.79547,                0.71541,                 1.2168,                0.81475,                0.69331,                0.75772,                 0.5254,                 1.0293,                 1.0411,                 1.5445,             0.00038705,             0.00038705,             0.00038705
                     60,                0.79558,                0.71086,                 1.2191,                 0.8124,                0.68773,                0.72904,                0.51822,                 1.0713,                 1.0992,                 1.5754,             0.00037805,             0.00037805,             0.00037805
                     61,                0.78797,                0.71483,                 1.2178,                0.77119,                0.76167,                0.80838,                0.56856,                 1.0344,                0.90879,                 1.5725,             0.00036905,             0.00036905,             0.00036905
                     62,                0.76529,                0.68802,                 1.1999,                0.77746,                0.81167,                0.82414,                 0.5831,                 1.0529,                0.89858,                 1.5723,             0.00036005,             0.00036005,             0.00036005
                     63,                 0.7662,                0.67227,                 1.1971,                0.76633,                0.73371,                0.76542,                 0.5332,                 1.0697,                0.98431,                 1.6136,             0.00035106,             0.00035106,             0.00035106
                     64,                0.76216,                0.67217,                 1.1909,                0.75491,                0.77352,                0.78038,                0.54597,                 1.0736,                 0.9718,                 1.6211,             0.00034206,             0.00034206,             0.00034206
                     65,                0.76399,                0.68652,                 1.1967,                 0.8292,                0.73457,                0.78298,                0.54093,                 1.0548,                0.98803,                 1.5767,             0.00033306,             0.00033306,             0.00033306
                     66,                0.75545,                0.66331,                 1.1896,                0.72365,                0.74917,                0.73993,                 0.5252,                 1.0886,                 1.0276,                 1.6094,             0.00032406,             0.00032406,             0.00032406
                     67,                0.74031,                0.65957,                 1.1837,                0.82151,                0.68404,                0.77285,                0.54298,                 1.0792,                 1.0029,                 1.6154,             0.00031506,             0.00031506,             0.00031506
